ID,District,Region,AdmDist,NoCand,KMTShare,DPPShare
1,TPE1,North,TPE,5,43.77,50.81
2,TPE2,North,TPE,7,0.00,59.29
3,TPE3,North,TPE,10,46.68,0.00
4,TPE4,North,TPE,8,41.73,0.00
5,TPE5,North,TPE,7,45.58,0.00
6,TPE6,North,TPE,12,46.09,0.00
7,TPE7,North,TPE,8,45.04,0.00
8,TPE8,North,TPE,6,49.69,0.00
9,NTP1,North,NTP,6,40.87,53.27
10,NTP2,North,NTP,2,31.25,68.74
11,NTP3,North,NTP,9,35.43,54.54
12,NTP4,North,NTP,7,29.40,62.98
13,NTP5,North,NTP,3,40.76,56.11
14,NTP6,North,NTP,9,39.55,52.61
15,NTP7,North,NTP,4,39.84,53.61
16,NTP8,North,NTP,6,40.42,53.66
17,NTP9,North,NTP,5,52.43,0.00
18,NTP10,North,NTP,3,38.46,58.50
19,NTP11,North,NTP,3,51.00,36.79
20,NTP12,North,NTP,4,43.71,0.00
21,TYN1,North,TYN,3,44.05,47.25
22,TYN2,North,TYN,6,42.72,50.16
23,TYN3,North,TYN,5,44.71,44.48
24,TYN4,North,TYN,2,49.95,50.04
25,TYN5,North,TYN,6,43.86,42.19
26,TYN6,North,TYN,6,46.06,0.00
27,TXG1,Center,TXG,5,37.99,60.13
28,TXG2,Center,TXG,4,46.65,43.71
29,TXG3,Center,TXG,3,45.15,0.00
30,TXG4,Center,TXG,6,36.76,52.77
31,TXG5,Center,TXG,4,51.51,0.00
32,TXG6,Center,TXG,3,40.53,55.74
33,TXG7,Center,TXG,3,35.04,63.07
34,TXG8,Center,TXG,3,49.61,48.59
35,TNN1,South,TNN,4,22.17,71.22
36,TNN2,South,TNN,5,18.66,76.46
37,TNN3,South,TNN,4,25.72,71.37
38,TNN4,South,TNN,6,32.46,58.89
39,TNN5,South,TNN,4,24.27,72.04
40,KHH1,South,KHH,4,39.61,59.02
41,KHH2,South,KHH,5,34.91,63.23
42,KHH3,South,KHH,5,38.61,53.50
43,KHH4,South,KHH,3,23.21,75.53
44,KHH5,South,KHH,4,38.59,59.43
45,KHH6,South,KHH,3,39.78,58.93
46,KHH7,South,KHH,5,34.08,60.50
47,KHH8,South,KHH,7,31.61,59.13
48,KHH9,South,KHH,4,34.43,60.57
49,HSZ,North,HSZ,8,36.74,0.00
50,ZMI1,North,ZMI,5,42.26,35.86
51,ZMI2,North,ZMI,5,49.90,44.60
52,CHW1,Center,CHW,2,56.19,43.80
53,CHW2,Center,CHW,7,40.01,45.07
54,CHW3,Center,CHW,5,40.95,44.58
55,CHW4,Center,CHW,2,42.76,57.23
56,NTO1,Center,NTO,2,54.77,45.22
57,NTO2,Center,NTO,2,56.64,43.35
58,YUN1,Center,YUN,3,42.80,53.72
59,YUN2,Center,YUN,4,26.16,68.17
60,CHY1,South,CHY,3,45.43,52.96
61,CHY2,South,CHY,3,31.86,65.18
62,PCH1,South,PCH,2,30.00,69.99
63,PCH2,South,PCH,2,47.45,52.54
64,PCH3,South,PCH,5,12.80,53.52
65,ILN,North,ILN,8,28.25,53.67
66,HWA,East,HWA,4,43.58,53.77
67,TTT,East,TTT,2,35.81,64.18
68,PEH,Island,PEH,4,39.99,55.40
69,KLU,North,KLU,4,36.14,41.45
70,HSC,North,HSC,10,36.45,41.33
71,CYI,South,CYI,4,35.66,53.95
72,KMN,Island,KMN,8,45.08,23.07
73,LNN,Island,LNN,4,68.06,0.00
